id,name,wikidata_id,normalized_genre,libretto,first_author,title,subtitle,num_of_co_authors,max_degree_ids,num_of_segments,num_of_acts,num_of_speakers,num_of_speakers_male,num_of_speakers_female,num_of_speakers_unknown,num_of_person_groups,num_of_p,num_of_l,wikipedia_link_count,word_count_text,word_count_sp,word_count_stage,date_premiered,year_written,year_premiered,year_printed,year_normalized,digital_source,original_source_publisher,original_source_pub_place,original_source_year,original_source_number_of_pages,average_degree,density,average_clustering,size,max_degree,num_connected_components,num_edges,diameter,average_path_length
ger000403,kaltneker-das-bergwerk,Q56254541,,False,Kaltneker,Das Bergwerk,Ein Drama in drei Akten,0,several characters,5,3,56,40,12,4,5,684,36,0,12081,11649,2037,,1918,1923,1921,1921,http://www.textgridrep.org/textgrid:qn30.0,,,,,24.535714285714285,0.4461038961038961,0.9801063924633718,56,31,2,687,2,1.1101036269430051
ger000543,kannengiesser-die-vierbeinigten-philosophen,Q107822636,,False,Kannengießer,Die vierbeinigten Philosophen,Ein Trauerspiel in einem Act,0,herr_von_albern,11,0,12,8,0,4,0,86,2,0,2850,2714,311,,,,1802,1802,https://de.wikisource.org/wiki/Die_vierbeinigten_Philosophen,,,,,4.5,0.4090909090909091,0.8407106782106782,12,11,1,27,2,1.5909090909090908
ger000405,kind-der-freischuetz,Q156435,,True,Kind,Der Freischütz,Romantische Oper in drei Aufzügen,0,max|kaspar,20,3,23,12,6,5,9,295,608,38,11301,10571,2774,,,1821,,1821,http://www.textgridrep.org/textgrid:qx5q.0,,,,,8.434782608695652,0.383399209486166,0.7673428529263768,23,19,1,97,4,1.774703557312253
ger000070,klabund-der-kreidekreis,Q16061494,,False,Klabund,Der Kreidekreis,Spiel in fünf Akten nach dem Chinesischen,0,haitang|tschang-ling,5,5,22,18,4,0,2,565,303,1,18584,18306,1339,,,1925,1925,1925,http://www.textgridrep.org/textgrid:qxh9.0,,,,,9.090909090909092,0.4329004329004329,0.8774092069546615,22,21,1,100,2,1.567099567099567
ger000437,kleist-amphitryon,Q475044,Comedy,False,Kleist,Amphitryon,Ein Lustspiel nach Molière,0,sosias|amphitryon,22,3,15,12,2,1,3,0,2598,2,18226,18050,363,,1803,1899,1807,1807,http://www.textgridrep.org/textgrid:r0jz.0,,,,,10.533333333333333,0.7523809523809524,0.9183927183927185,15,14,1,79,2,1.2476190476190476
ger000208,kleist-das-kaethchen-von-heilbronn,Q316826,,False,Kleist,Das Käthchen von Heilbronn oder die Feuerprobe,Ein großes historisches Ritterschauspiel,0,der_graf_vom_strahl,53,5,61,43,8,10,13,447,1600,5,26015,24965,2703,,1807/1808,1810,1810,1810,http://www.textgridrep.org/textgrid:r0gb.0,,,,,10.098360655737705,0.16830601092896175,0.8337145605575068,61,46,2,308,3,2.0107344632768362
ger000363,kleist-der-zerbrochene-krug,Q486602,Comedy,False,Kleist,Der zerbrochne Krug,Ein Lustspiel,0,adam|licht|walter,13,0,13,7,5,1,1,0,2395,12,16601,16417,381,,1803/1806,1808,1811,1808,http://www.textgridrep.org/textgrid:r0sb.0,,,,,7.6923076923076925,0.6410256410256411,0.8383116883116883,13,11,1,50,2,1.358974358974359
ger000049,kleist-die-familie-schroffenstein,Q1212309,Tragedy,False,Kleist,Die Familie Schroffenstein,Ein Trauerspiel in fünf Aufzügen,0,eustache,13,5,29,21,7,1,3,0,3513,3,23425,23027,1593,,1802,1804,1803,1803,http://www.textgridrep.org/textgrid:r0px.0,,,,,12.0,0.42857142857142855,0.8662617703436303,29,24,1,174,3,1.6009852216748768
ger000078,kleist-die-hermannsschlacht,Q615212,,False,Kleist,Die Hermannsschlacht,Ein Drama,0,hermann,53,5,84,70,7,7,11,0,2872,4,22130,21182,2201,,1808,1860,1821,1808,http://www.textgridrep.org/textgrid:r0hz.0,,,,,9.119047619047619,0.10986804360298336,0.810206460394366,84,44,1,383,4,2.5834767641996557
ger000110,klingemann-faust,Q55006790,Tragedy,False,Klingemann,Faust,Ein Trauerspiel in fünf Acten,0,faust,43,5,20,15,2,3,3,0,2369,0,19631,18537,4580,,,1812,1815,1812,http://www.textgridrep.org/textgrid:r121.0,,,,,5.0,0.2631578947368421,0.743970588235294,20,18,1,50,3,1.7894736842105263
